ID,DOT,Question,Answer1,Answer2,Answer3,Answer4,CorrectAnswer,Category,Subcategory,Explanation,MustInclude,Difficulty,Language,Region,Product,PresenterContent,ContentSlide,JeopardyBoard,JeopardyQuestion1,JeopardyQuestion2,JeopardyQuestion3,JeopardyQuestion4,JeopardyCorrect,Reserved8,Reserved9,Reserved10,Reserved11,Reserved12,Reserved13,Reserved14,Reserved15
59,2-303.11,Which type of jewelry is permitted for food handlers?,A medical alert bracelet,A plain band ring with no stones or settings,A thin chain bracelet,A silicone wristband,2,Personal Hygiene,Jewelry,"A plain band ring is the only jewelry permitted because it has no crevices to trap food particles or pathogens, unlike bracelets, watches, or rings with stones.",0,2,English,US,SafePrep,D,0,1,What is the proper order of steps for handwashing?,Order for warewashing?,Order for sanitizing?,Order for thawing?,1,,,,,,,,
60,2-303.11,Why is a plain band ring the only jewelry a food handler is permitted to wear?,It is easier to put gloves on over a plain band,It looks more professional in a kitchen setting,Its smooth surface is far less likely to harbor bacteria than rings with stones or settings,It is required by most local health codes,3,Personal Hygiene,Jewelry,"A plain band ring has a smooth surface with no settings or crevices, making it far less likely to harbor bacteria compared to ornate or gemmed rings.",0,2,English,US,SafePrep,D,0,1,Where should food handlers wash their hands?,Where should they take breaks?,Where should they change uniforms?,Where should they store personal items?,1,,,,,,,,
61,2-303.11,Why is jewelry restricted for food handlers?,It can fall into food and cause a physical hazard,It interferes with putting on gloves properly,It looks unprofessional in a food service setting,Its grooves and crevices can harbor pathogens that handwashing cannot fully remove,4,Personal Hygiene,Jewelry,"Jewelry has grooves and crevices that trap moisture, food particles, and pathogens, making thorough handwashing impossible and increasing contamination risk.",0,2,English,US,SafePrep,D,0,1,What is the maximum hand jewelry allowed for food handlers?,Maximum face jewelry?,Maximum nail polish?,Maximum perfume?,1,,,,,,,,
62,2-201.11,When must a food handler be excluded from the operation?,When they are diagnosed with Norovirus,When they have a sore throat with mild discomfort,When they have an infected cut on their finger,When they feel tired after a long shift,1,Personal Hygiene,Illness,A Norovirus diagnosis requires exclusion from the operation because it is a highly contagious illness that can be spread through food handling.,0,2,English,US,SafePrep,D,0,1,What should a food handler do with hair while working?,With facial hair?,With nail polish?,With jewelry?,1,,,,,,,,
63,2-201.11,Which symptom requires a food handler to be excluded from the operation?,Fatigue,Jaundice,Headache,Sore throat without fever,2,Personal Hygiene,Illness,"Jaundice is a symptom of Hepatitis A, a highly contagious foodborne illness requiring immediate exclusion from the operation and reporting to the health authority.",0,2,English,US,SafePrep,D,0,1,What should a food handler do if they have a cut on their hand?,If they have a cold?,If they have a headache?,If they have a stomachache?,1,,,,,,,,
64,2-201.12,What should a manager do if a food handler reports vomiting at work?,Monitor their symptoms and reassess after one hour,Reassign them to cleaning duties away from open food,Exclude them from the operation entirely,Have them wear gloves and a mask and continue working,3,Personal Hygiene,Illness,Vomiting is a symptom of possible foodborne illness and requires full exclusion. Reassigning to non-food tasks is not safe enough for this symptom.,0,1,English,US,SafePrep,D,0,1,When should a food handler be excluded from working with food?,When should they be restricted?,When should they take a break?,When should they change roles?,1,,,,,,,,
65,2-201.12,What must a manager do when a food handler is diagnosed with Hepatitis A?,Allow them to work with gloves and a mask,Notify the regulatory authority and exclude the food handler,Reassign them to non-food tasks only,Have them wear a mask and monitor symptoms daily,2,Personal Hygiene,Illness,Hepatitis A is a reportable illness. The manager must notify the regulatory authority immediately and exclude the food handler from the operation.,0,2,English,US,SafePrep,D,0,1,What is the difference between excluding and restricting a sick employee?,Between firing and excluding?,Between restricting and reassigning?,Between excluding and quarantining?,1,,,,,,,,
66,2-401.11,What should a food handler do if they are experiencing coughing and sneezing?,Work only in areas away from open food,Stay home or be reassigned away from food handling,Wear gloves and a face mask while working,Increase handwashing frequency throughout the shift,2,Personal Hygiene,Illness,Coughing and sneezing can spread respiratory pathogens to food. A food handler with these symptoms should stay home or be reassigned away from food.,0,2,English,US,SafePrep,D,0,1,When can an excluded employee return to work?,When can a restricted employee return?,When can a reassigned employee return?,When can a new employee start?,1,,,,,,,,
67,2-401.11,What should a food handler with a persistent cough do?,Increase handwashing and glove use,Work only with raw ingredients that will be fully cooked,Wear a mask and continue working,Avoid working directly with food,4,Personal Hygiene,Illness,A persistent cough can spread respiratory droplets and potential pathogens to food and food-contact surfaces. The food handler should not work with food.,0,2,English,US,SafePrep,D,0,1,What symptoms require a food handler to be excluded from the operation?,Symptoms requiring restriction?,Symptoms requiring a break?,Symptoms requiring reassignment?,1,,,,,,,,
68,4-601.11,What should be done with a cutting board that has deep grooves or cuts?,Soak it overnight in sanitizer solution,Sanitize it more frequently to compensate,Reserve it for dry goods only,Replace it with a new board,4,Cleaning & Sanitizing,Equipment,Deep grooves trap food and bacteria that cannot be removed by washing or sanitizing. The board must be replaced to maintain a safe food-contact surface.,0,2,English,US,SafePrep,D,0,1,What is the proper way for a food handler to cover a sneeze or cough?,Cover a yawn?,Cover a wound?,Cover hair?,1,,,,,,,,
69,4-601.11,What should be done with equipment that cannot be cleaned or sanitized properly?,Use it only during slow periods when risk is lower,Reserve it for dry goods storage only,Remove it from service,Sanitize it more frequently to compensate,3,Cleaning & Sanitizing,Equipment,Equipment that cannot be thoroughly cleaned harbors bacteria regardless of sanitizing frequency and must be removed from service to protect food safety.,0,2,English,US,SafePrep,D,0,1,When should food handlers change their gloves?,Change uniforms?,Change shifts?,Change roles?,1,,,,,,,,
70,4-601.11,What should be done with utensils stored in standing water that is below 135°F?,Move them to a dry storage area,Reheat the water to 165°F and continue using them,Continue using them since they are submerged in liquid,Discard the utensils and replace them with clean ones,4,Cleaning & Sanitizing,Utensil Storage,Standing water below 135°F is in the temperature danger zone and can harbor bacteria. Utensils stored this way are contaminated and must be replaced.,0,3,English,US,SafePrep,D,0,1,What should be done with a cutting board that has deep grooves or cuts?,With a worn knife?,With a cracked plate?,With a dented pan?,1,,,,,,,,
71,4-602.11,How often must food-contact surfaces be cleaned and sanitized when in continuous use?,Every 4 hours,Every 2 hours,Once per shift,Once per day at closing,1,Cleaning & Sanitizing,Food-Contact Surfaces,Food-contact surfaces in continuous use must be cleaned and sanitized at least every 4 hours to prevent the buildup of bacteria that could contaminate food.,0,2,English,US,SafePrep,D,0,1,What should be done with equipment that cannot be cleaned or sanitized?,With equipment that needs repair?,With equipment past warranty?,With outdated equipment?,1,,,,,,,,
72,4-602.11,How often must non-food-contact surfaces be cleaned?,Only when they become visibly dirty,On a regular schedule to prevent grease buildup and pest attraction,Once per day at closing,Every 4 hours,2,Cleaning & Sanitizing,Non-Food Surfaces,"Non-food-contact surfaces must be cleaned regularly on a schedule to prevent grease buildup, pest attraction, and potential indirect contamination of food.",0,2,English,US,SafePrep,D,0,1,What should be done with utensils stored in standing water below 135°F?,Stored at 135°F?,Stored in ice?,Stored at room temperature?,1,,,,,,,,
73,4-602.11,How often must ice machines be cleaned and sanitized?,Only when visible mold or slime is present,Only during health department inspections,On a regular schedule as specified by the manufacturer,Once per year during the slow season,3,Cleaning & Sanitizing,Equipment,Ice machines must be cleaned on a regular schedule per manufacturer instructions because mold and bacteria can build up in the wet interior environment.,0,2,English,US,SafePrep,D,0,1,What is the correct order of the warewashing process?,Order for cleaning equipment?,Order for sanitizing surfaces?,Order for handwashing?,1,,,,,,,,
74,4-501.114,What is the correct concentration range for chlorine sanitizer?,50 to 99 ppm,200 to 300 ppm,10 to 20 ppm,150 to 200 ppm,1,Cleaning & Sanitizing,Sanitizer,Chlorine sanitizer must be between 50 and 99 ppm to be effective. Too low and it will not sanitize. Too high and it becomes a chemical hazard.,0,3,English,US,SafePrep,D,0,1,What is the difference between cleaning and sanitizing?,Between sanitizing and disinfecting?,Between cleaning and rinsing?,Between scrubbing and wiping?,1,,,,,,,,
75,4-501.114,What is the correct concentration for quaternary ammonium sanitizer?,Always 200 ppm,Always 50 ppm,Always 500 ppm,As specified by the manufacturer,4,Cleaning & Sanitizing,Sanitizer,"Quaternary ammonium concentration varies by product, so the manufacturer's instructions must always be followed to ensure proper effectiveness and safety.",0,3,English,US,SafePrep,D,0,1,What is the correct sanitizer concentration for chlorine?,For iodine?,For quats?,For peroxide?,1,,,,,,,,
76,4-501.114,What should you do if sanitizer test strips show the solution is below the required concentration?,Adjust the concentration or replace the solution entirely,Add more water to dilute and restabilize the solution,Switch to plain water until new sanitizer is available,Use the solution as-is since it still has some effectiveness,1,Cleaning & Sanitizing,Sanitizer,Low concentration means the sanitizer will not effectively kill pathogens. The solution must be adjusted to the correct level or replaced entirely.,0,2,English,US,SafePrep,D,0,1,What is the correct sanitizer concentration for iodine?,For chlorine?,For quats?,For peroxide?,1,,,,,,,,
77,4-501.114,What should you do if sanitizer concentration tests too high?,Switch to plain water for sanitizing,Dilute it to the correct concentration before use,Add more sanitizer to stabilize the concentration,Use it as-is since stronger sanitizer is safer,2,Cleaning & Sanitizing,Sanitizer,Sanitizer that is too concentrated can leave harmful chemical residues on food-contact surfaces. It must be diluted to the correct level before use.,0,2,English,US,SafePrep,D,0,1,How often should sanitizer be tested for concentration?,How often replaced?,How often diluted?,How often discarded?,1,,,,,,,,
78,4-703.11,What is the final step in the three-compartment sink process?,Rinse with hot water to remove sanitizer residue,Dry items with a clean single-use towel,Allow items to air-dry completely,Wipe with a fresh sanitizer cloth,3,Cleaning & Sanitizing,Warewashing,"After sanitizing, items must air-dry completely. Hand-drying with towels can re-contaminate surfaces and voids the sanitizing step.",0,2,English,US,SafePrep,D,0,1,What is the proper contact time for chlorine sanitizer?,For iodine?,For quats?,For hot water sanitizing?,1,,,,,,,,
79,4-703.11,What must be done after washing and rinsing equipment in a three-compartment sink?,Store it immediately in a clean dry location,Sanitize it and then allow it to air-dry,Dry it by hand with a clean single-use towel,Heat it to 165°F to ensure pathogens are destroyed,2,Cleaning & Sanitizing,Warewashing,"After washing and rinsing, equipment must be sanitized to kill remaining pathogens and then allowed to air-dry completely before storage or use.",0,2,English,US,SafePrep,D,0,1,What is the minimum temperature for hot water sanitizing in a 3-compartment sink?,For warewashing rinse?,For handwashing?,For dishwasher sanitizing?,1,,,,,,,,
80,4-703.11,What is required after sanitizing food-contact equipment?,Allow it to air-dry completely,Heat it to ensure all pathogens are eliminated,Store it immediately in a closed cabinet,Hand-dry it with a clean towel,1,Cleaning & Sanitizing,Equipment,Equipment must air-dry after sanitizing. Wiping with a towel can re-introduce bacteria onto the sanitized surface and negate the sanitizing step.,0,2,English,US,SafePrep,D,0,1,What should be done if a chemical sanitizer is too concentrated?,Too dilute?,Wrong pH?,Wrong temperature?,1,,,,,,,,
81,4-501.112,What is the minimum final rinse temperature for a high-temperature dish machine?,165°F,200°F,150°F,180°F,4,Cleaning & Sanitizing,Warewashing,A high-temperature dish machine must reach 180°F on the surface of utensils during the final rinse to ensure effective sanitization by heat.,0,3,English,US,SafePrep,D,0,1,What must be on the label of every chemical container in the kitchen?,On every food container?,On every utensil?,On every piece of equipment?,1,,,,,,,,
82,4-501.112,What is the minimum wash water temperature for a high-temperature dish machine?,120°F,180°F,150°F,200°F,3,Cleaning & Sanitizing,Warewashing,The wash cycle of a high-temperature dish machine must reach at least 150°F to effectively remove food soil before the final sanitizing rinse.,0,3,English,US,SafePrep,D,0,1,Where must chemicals be stored relative to food?,Relative to utensils?,Relative to equipment?,Relative to employee items?,1,,,,,,,,
83,3-302.15,What must be done before cutting or preparing fresh produce?,Rinse it under clean running water,Trim off any visible blemishes only,Peel it before washing to remove surface contaminants,Sanitize it with a food-safe chemical solution,1,Food Preparation,Produce,"Washing produce under running water removes dirt, pesticides, and surface pathogens before cutting, which would otherwise spread contaminants into the flesh.",0,2,English,US,SafePrep,D,0,1,What is the proper way to air-dry sanitized dishes?,To towel-dry?,To heat-dry?,To rinse-dry?,1,,,,,,,,
84,3-302.15,What should be done with produce that is visibly spoiled?,Discard it entirely,Trim the spoiled portions and use the rest,Freeze it to stop further spoilage,Wash it thoroughly and inspect before serving,1,Food Preparation,Produce,"Visibly spoiled produce must be discarded entirely. Trimming spoiled areas is not sufficient, as pathogens and mold may have spread beyond visible damage.",0,2,English,US,SafePrep,D,0,1,How often must food-contact surfaces be cleaned and sanitized?,How often non-food contact?,How often floors?,How often walls?,1,,,,,,,,
85,3-302.15,"After washing produce, how should it be stored?",Kept separate from raw proteins and covered to prevent recontamination,Placed next to raw proteins in the cooler,Left on the prep table until needed,Stored in a container of standing water to keep it fresh,1,Food Preparation,Produce,Washed produce must be protected from cross-contamination by storing it away from raw proteins and keeping it covered to prevent recontamination.,0,2,English,US,SafePrep,D,0,1,What must be done before cutting or preparing fresh produce?,Before cooking meat?,Before serving RTE food?,Before storing leftovers?,1,,,,,,,,
86,3-302.12,What is the safest method for thawing frozen food?,Submerged in a basin of standing warm water,On the counter at room temperature,Under warm running water at the counter,In the refrigerator at 41°F or lower,4,Food Preparation,Thawing,"Thawing in refrigeration keeps food out of the temperature danger zone throughout the entire thawing process, making it the safest method.",0,2,English,US,SafePrep,D,0,1,What should be done with produce that is visibly spoiled?,With dented cans?,With expired dairy?,With thawed frozen items?,1,,,,,,,,
87,3-302.12,What is the safest method for thawing fish?,In warm water on the counter,On the prep table at room temperature,Under refrigeration at 41°F or lower,In direct sunlight to speed the process,3,Food Preparation,Thawing,"Thawing under refrigeration keeps fish at a safe temperature throughout the entire thawing process, preventing bacterial growth.",0,2,English,US,SafePrep,D,0,1,"After washing produce, how should it be stored?",How should raw meat be stored?,How should RTE food be stored?,How should dry goods be stored?,1,,,,,,,,
88,3-302.12,Which thawing method is acceptable under food code?,On the prep table at room temperature,In the microwave if the food is cooked immediately afterward,Submerged in a bowl of standing water,On top of the oven using residual heat,2,Food Preparation,Thawing,"Microwave thawing is acceptable only if the food is cooked immediately afterward, because parts of the food may begin cooking unevenly during the process.",0,2,English,US,SafePrep,D,0,1,What is the minimum quantity rule for prep?,The FIFO rule?,The date-marking rule?,The hold time rule?,1,,,,,,,,
157,3-401.15,What is the correct time limit for the initial stage of partial cooking?,Refrigerate for 24 hours before finishing,Cook for no more than 60 minutes initially,Serve immediately after the partial cook,Hold at room temperature until needed for service,2,Food Preparation,Partial Cooking,Partial cooking must be limited to no more than 60 minutes to prevent the food from spending too long in the temperature danger zone before finishing.,0,3,English,US,SafePrep,D,0,1,What is the maximum time allowed for initial partial cooking?,What is the maximum time for full cooking?,What is the maximum time for reheating?,What is the maximum time for cooling?,1,,,,,,,,
90,3-302.11,How should ice used for beverages be handled?,With bare hands,With a dedicated ice scoop,By scooping with a drinking glass,With a clean towel or cloth,2,Food Preparation,Ice Handling,"Ice must be handled with a scoop to prevent hand contact. Ice is a food, and bare hands or glasses used as scoops introduce contamination.",0,1,English,US,SafePrep,D,0,1,What is the proper procedure for tasting food during preparation?,For tasting after cooking?,For tasting before serving?,For tasting during holding?,1,,,,,,,,
91,3-302.11,What should be done with utensils that have been used for raw meat?,Use separate utensils for raw and ready-to-eat foods,Sanitize them once per shift,Store them with clean utensils after rinsing,Continue using them if gloves are worn,1,Food Preparation,Utensils,Separate utensils for raw and ready-to-eat foods prevent pathogens from raw items being transferred to foods that will not receive further cooking.,0,2,English,US,SafePrep,D,0,1,How should ice used in food preparation be handled?,Ice for drinks?,Ice for displays?,Ice for cooling food?,1,,,,,,,,
92,3-302.11,How should utensils used for allergen-free meals be handled?,Reserve them for raw meat use to avoid confusion,Sanitize them once per shift,Keep them completely separate from all other utensils,Wash and store them with all other utensils,3,Food Preparation,Allergens,"Utensils used for allergen-free meals must be kept completely separate to prevent allergen cross-contact, which can trigger serious reactions.",0,2,English,US,SafePrep,D,0,1,What should be done with raw seed sprouts intended for YOPI populations?,For non-YOPI customers?,For staff meals?,For cooked dishes?,1,,,,,,,,
93,3-302.11,What should be done with food that has been contaminated by a chemical?,Rinse it thoroughly under running water and serve,Cook it to 165°F to neutralize the contamination,Discard it immediately,Label it and set it aside for supervisor inspection,3,Food Preparation,Contamination,Chemical contamination cannot be corrected by rinsing or cooking. Contaminated food must be discarded immediately to prevent illness.,0,1,English,US,SafePrep,D,0,1,"What is required before smoking, curing, or fermenting food for preservation?",Before vacuum-packaging?,Before sous vide?,Before serving?,1,,,,,,,,
94,3-302.11,What should be done with food contaminated by broken glass?,Label it and set it aside for a supervisor,Strain out the glass and continue using the food,Discard it immediately,Cook it to 165°F to eliminate the hazard,3,Food Preparation,Contamination,"Glass contamination is a physical hazard that cannot be made safe by straining, heating, or labeling. The food must be discarded immediately.",0,1,English,US,SafePrep,D,0,1,What is the proper way to handle dough that has been prepared with TCS ingredients?,Non-TCS dough?,Pre-made dough?,Frozen dough?,1,,,,,,,,
95,3-302.11,What should be done with food that has been time-temperature abused?,Reheat it to 165°F to make it safe again,Chill it immediately to stop further bacterial growth,Discard it,Serve it right away before more bacteria can grow,3,Food Preparation,Contamination,Time-temperature abuse means bacteria have had the opportunity to multiply to unsafe levels. Reheating or chilling does not make the food safe again.,0,2,English,US,SafePrep,D,0,1,What is the safe way to wash raw produce that will be eaten raw?,Produce that will be cooked?,Produce for canning?,Produce for juicing?,1,,,,,,,,
96,3-202.11,What is the maximum acceptable receiving temperature for cold TCS food?,38°F,45°F,41°F,50°F,3,Receiving & Storage,Receiving,Cold TCS food must be received at 41°F or lower to ensure it has been kept out of the temperature danger zone during transport.,0,2,English,US,SafePrep,D,0,1,What should be done with eggs that will be pooled for later use?,With raw beef?,With raw poultry?,With raw seafood?,1,,,,,,,,
97,3-202.11,What is the maximum acceptable receiving temperature for shell eggs?,32°F,50°F,45°F,41°F,3,Receiving & Storage,Receiving,"Shell eggs may be received at 45°F or lower, which is slightly higher than other TCS foods as allowed by the FDA Food Code.",0,2,English,US,SafePrep,D,0,1,How should leafy greens like lettuce be properly prepared?,How should root vegetables?,How should fruits?,How should herbs?,1,,,,,,,,
98,3-202.11,What is the maximum acceptable receiving temperature for milk?,32°F,50°F,45°F,41°F,3,Receiving & Storage,Receiving,"Milk must be received at 45°F or lower and then cooled to 41°F within 4 hours of receiving, per FDA Food Code guidelines.",0,2,English,US,SafePrep,D,0,1,What is the maximum acceptable receiving temperature for cold TCS food?,For shell eggs?,For frozen food?,For hot food?,1,,,,,,,,
99,3-202.11,What is the correct receiving condition for live shellfish?,They must be completely sealed with no odor packed in ice,They must have an internal temperature of 32°F or lower,They must be received at an air temperature of 45°F or lower and on ice,They must have an internal temperature of 41°F or lower,3,Receiving & Storage,Receiving,"Live shellfish must be received at an air temperature of 45°F or lower. They are living organisms, so air temperature is the standard used, not internal temperature.",0,2,English,US,SafePrep,D,0,1,What is the maximum acceptable receiving temperature for shell eggs?,For cold TCS?,For frozen?,For hot held?,1,,,,,,,,
100,3-202.11,What is the maximum acceptable receiving temperature for vacuum-packed fish?,50°F,38°F,41°F,45°F,3,Receiving & Storage,Receiving,Vacuum-packed fish must be received at 41°F or lower because the anaerobic environment can promote growth of Clostridium botulinum if not kept cold.,0,2,English,US,SafePrep,D,0,1,What is the maximum acceptable receiving temperature for milk?,For shell eggs?,For ice cream?,For yogurt?,1,,,,,,,,
101,3-202.15,What should you do if a case of canned goods arrives with dented cans?,Store them separately and inspect contents before use,Open each can to check for signs of spoilage,Accept them since the contents may still be safe,Reject the dented cans,4,Receiving & Storage,Inspection,"Dented cans may have compromised seams that allow bacteria, including Clostridium botulinum, to enter. They must be rejected at receiving.",0,2,English,US,SafePrep,D,0,1,What is the maximum receiving temperature for live shellfish?,For shucked shellfish?,For frozen seafood?,For cooked seafood?,1,,,,,,,,
102,3-202.15,What should you do if a food delivery arrives with swollen or leaking packaging?,Accept it and use the product quickly,Repackage the items and store them,Reject the entire delivery,Inspect the contents before deciding,3,Receiving & Storage,Inspection,Swollen or leaking packaging indicates possible bacterial activity or seal failure. These products must be rejected to prevent food safety risk.,0,1,English,US,SafePrep,D,0,1,What should be done with a delivery of food that arrives at the wrong temperature?,At correct temperature?,Past expiration?,From an approved supplier?,1,,,,,,,,
103,3-202.15,What does the presence of large ice crystals on a frozen food delivery indicate?,The food is of premium quality,The food was stored at an unusually cold temperature,The food was packed with extra ice for protection,The food thawed and refroze during transit,4,Receiving & Storage,Frozen Goods,"Large ice crystals indicate the food thawed and refroze during transit, which is a sign of temperature abuse. The delivery must be rejected.",0,2,English,US,SafePrep,D,0,1,What should be done with a dented can during receiving?,With a bulging can?,With a rusted can?,With an unmarked can?,1,,,,,,,,
104,3-202.11,A delivery truck's thermometer reads 60°F on arrival. What should you do?,Inspect each TCS item and reject any that exceed safe temperatures,Reject only the produce since it is most temperature-sensitive,Store all items immediately and monitor them,Accept all items since they were in transit for a short time,1,Receiving & Storage,Inspection,A truck temperature of 60°F means TCS items have likely been in the danger zone. Each TCS item must be inspected and items out of safe range rejected.,0,3,English,US,SafePrep,D,0,1,What should be done with a damaged or contaminated shipment?,With an undamaged shipment?,With a partial shipment?,With an early shipment?,1,,,,,,,,
105,3-202.15,What should you do if food packaging arrives with water staining?,Inspect the contents and accept if they look fine,Dry the packaging and store normally,Reject the delivery,Accept without concern if the product is frozen,2,Receiving & Storage,Inspection,"Water staining on packaging indicates possible leakage or moisture exposure during transit, which may have compromised the product or allowed bacterial growth.",0,2,English,US,SafePrep,D,0,1,What information must be on a shellfish identification tag?,On a chemical label?,On a food label?,On a delivery invoice?,1,,,,,,,,
106,3-202.15,What should you do if a case of produce arrives with visible mold?,Reject the entire case,Move it to the freezer to stop further spoilage,Wash the produce and inspect before use,Trim the moldy portions and use the rest,1,Receiving & Storage,Inspection,"Mold on produce indicates improper storage or transport. The entire case must be rejected, as mold can spread beyond visible areas.",0,2,English,US,SafePrep,D,0,1,How long must shellfish tags be retained after the last shellfish from the container is sold?,How long must HACCP records be kept?,How long must invoices be kept?,How long must temperature logs be kept?,1,,,,,,,,
107,3-202.11,What condition should frozen foods be in when received?,Slightly soft on the outside but firm in the center,Lightly coated with surface ice crystals,Slightly flexible to show proper cold chain management,Completely frozen solid with no signs of thawing,4,Receiving & Storage,Frozen Goods,"Frozen foods must be received completely solid. Any softness, flexibility, or large ice crystals suggests they thawed during transit and must be rejected.",0,2,English,US,SafePrep,D,0,1,What is the FIFO rule?,The LIFO rule?,The HACCP rule?,The TCS rule?,1,,,,,,,,
108,3-202.11,What should you do if a shellfish delivery arrives without shellfish tags?,Reject the shipment,Ask the vendor to email copies of the tags,Store the shellfish separately until tags are provided,Accept the delivery and file for documentation later,1,Receiving & Storage,Documentation,Shellfish tags provide traceability for illness outbreaks. Shipments without tags must be rejected because there is no way to verify their origin or safety.,0,2,English,US,SafePrep,D,0,1,At what minimum height off the floor must food be stored?,How far from walls?,How far from ceilings?,How far from doors?,1,,,,,,,,
109,3-202.18,How long must shellfish tags be kept on file after the last shellfish from that container was sold?,30 days,7 days,90 days,1 year,3,Receiving & Storage,Documentation,"Shellfish tags must be kept for 90 days from the date the last shellfish from the container was sold, to allow traceability during illness investigations.",0,3,English,US,SafePrep,D,0,1,How far from the wall must food be stored?,From floor?,From ceiling?,From doors?,1,,,,,,,,
110,3-202.11,What should you do if a food delivery arrives with broken or missing package seals?,Reject the delivery,Accept the delivery if the items are refrigerated,Store the items and check again before use,Inspect one item and accept the rest if it looks fine,1,Receiving & Storage,Inspection,"Broken seals indicate compromised packaging integrity, which could allow contamination or indicate improper handling during transport.",0,2,English,US,SafePrep,D,0,1,What should be the temperature of a freezer storing TCS food?,Of a refrigerator?,Of a hot-hold unit?,Of dry storage?,1,,,,,,,,
111,3-202.11,A delivery truck has a strong chemical odor when opened. What should you do?,Reject all TCS foods that were exposed to the chemical environment,Reject only the produce since it absorbs odors most easily,Store items and monitor for off odors after opening,Accept items that are sealed in original packaging,1,Receiving & Storage,Inspection,A strong chemical odor in a delivery truck suggests possible chemical contamination. All TCS foods exposed to that environment must be rejected.,0,3,English,US,SafePrep,D,0,1,What is the proper way to date-mark a TCS food prepared on-site?,To label a chemical?,To label a delivery?,To label shellfish?,1,,,,,,,,
112,3-202.11,What should you do if a delivery of milk arrives at 50°F?,Reject the delivery,Store it and check the temperature again in one hour,Accept it since it is only slightly above the limit,Accept it and use it for cooking only,1,Receiving & Storage,Receiving,Milk must be received at 45°F or lower. A delivery arriving at 50°F exceeds the safe receiving temperature and must be rejected.,0,2,English,US,SafePrep,D,0,1,How long can a refrigerated TCS food prepared on-site be held?,How long for shellfish tags?,How long for HACCP records?,How long for invoices?,1,,,,,,,,
113,3-202.11,What should you do if live shellfish arrive with a broken container seal?,Repackage them in a sealed container,Store them and use them quickly,Accept them and monitor for signs of spoilage,Reject the delivery,4,Receiving & Storage,Receiving,A broken seal on live shellfish packaging compromises containment and documentation integrity. The shipment must be rejected.,0,2,English,US,SafePrep,D,0,1,What must be done with food that has passed its use-by date?,Food past sell-by date?,Food past best-by date?,Food past production date?,1,,,,,,,,
114,3-202.11,What should you verify when receiving frozen foods?,They are very few ice crystals,They are completely frozen solid,They feel cold to the touch,They have a light coating of surface ice crystals,2,Receiving & Storage,Frozen Goods,Frozen foods must be received completely solid. Any softness or large ice crystals suggests temperature abuse during transit.,0,2,English,US,SafePrep,D,0,1,Where should chemicals be stored relative to food?,Relative to utensils?,Relative to equipment?,Relative to employee items?,1,,,,,,,,
115,3-302.11,What is the correct storage temperature for shell eggs?,32°F or lower,50°F or lower,45°F or lower,41°F or lower,3,Receiving & Storage,Storage,"Shell eggs must be stored at 45°F or lower in accordance with the FDA Food Code, which allows a slightly higher storage temperature than most other TCS foods.",0,2,English,US,SafePrep,D,0,1,How should raw meat be stored relative to ready-to-eat foods?,Relative to other raw meats?,Relative to produce?,Relative to dry goods?,1,,,,,,,,
116,5-202.12,What is required for a handwashing sink to meet food code requirements?,Hot water supply only,Both hot and cold running water,A foot-operated pedal for hands-free use,A sign that indicates this is a handwashing only sink,2,Facility & Equipment,Handwashing Sinks,A compliant handwashing sink must provide both hot and cold running water so food handlers can wash at the correct minimum temperature of 100°F.,0,2,English,US,SafePrep,D,0,1,What is the correct storage temperature for live shellfish?,For cooked shellfish?,For frozen shellfish?,For shucked shellfish?,1,,,,,,,,
117,5-203.11,What must a designated handwashing sink be used for?,Thawing small food items under running water,Disposing of mop water during cleaning,Food preparation when other sinks are occupied,Handwashing only,4,Facility & Equipment,Handwashing Sinks,Handwashing sinks are designated for handwashing only. Using them for food prep or dumping mop water introduces contamination and blocks access for hand hygiene.,0,2,English,US,SafePrep,D,0,1,What is the safest way to store food in a walk-in cooler to maintain air circulation?,To maintain temperature?,To maintain humidity?,To maintain visibility?,1,,,,,,,,
118,5-205.11,What should you do if a handwashing sink is blocked or being used for storage?,Remove the blockage immediately so the sink is accessible,Use it for storage since it is already blocked,Use a different sink in the facility,Ignore it until the next inspection,1,Facility & Equipment,Handwashing Sinks,"A blocked handwashing sink prevents food handlers from washing their hands, which is a critical food safety control. The blockage must be removed immediately.",0,2,English,US,SafePrep,D,0,1,What is required for a handwashing sink to meet food code requirements?,For a prep sink?,For a warewashing sink?,For a mop sink?,1,,,,,,,,
119,6-202.15,What is the primary method for preventing pests from entering a food facility?,"Seal all gaps, cracks, and openings in the building",Store food items on shelves away from walls,Use fans at doorways to create an air barrier,Keep exterior lights off to avoid attracting insects,1,Pest Management,Prevention,"Pests enter through gaps and openings in walls, floors, and doors. Sealing all openings is the primary method of pest prevention in a food facility.",0,2,English,US,SafePrep,D,0,1,What must a designated handwashing sink be used for?,A prep sink?,A warewashing sink?,A mop sink?,1,,,,,,,,
